stock_code,code,date_yyyymmdd,engine,A_SIG,B_SIG,C_SIG,target_pct,risk_pct_display,fail_price,engine_code,satellite,yield_to_AB,entry_price,risk_budget,exit_reason
001267.SZ,001267,20250715,B,0,1,0,17.668562144597892,14.14942528735632,10.4566,2,0,0,12.18,0.025,证明后结构回吐
300486.SZ,300486,20250717,C,0,0,1,12.261087400259784,12.233825198637916,7.7322,3,1,1,8.81,0.015,高成熟成本停滞
301591.SZ,301591,20250717,C,0,0,1,20.0,7.188414824042355,29.8018,3,1,1,32.11,0.015,高成熟成本停滞
000831.SZ,000831,20250718,B,0,1,0,20.0,8.601796407185613,36.632400000000004,2,0,0,40.08,0.025,证明后结构回吐
002716.SZ,002716,20250718,B,0,1,0,20.0,5.582795698924725,4.3904000000000005,2,0,0,4.65,0.025,证明后结构回吐
300510.SZ,300510,20250718,C,0,0,1,19.143081761006297,7.83572895277207,4.4884,3,1,1,4.87,0.015,MA20破坏
001206.SZ,001206,20250721,C,0,0,1,15.416141235813363,9.730061349693253,20.5996,3,1,1,22.82,0.015,MA20破坏
001696.SZ,001696,20250721,C,0,0,1,15.625000000000004,9.599999999999998,22.148,3,1,1,24.5,0.015,MA20破坏
002438.SZ,002438,20250721,C,0,0,1,17.400103341370993,8.620638455827766,12.3088,3,1,1,13.47,0.015,MA20破坏
600558.SH,600558,20250721,C,0,0,1,17.801556420233453,8.426229508196725,5.0274,3,1,1,5.49,0.015,滞败
603809.SH,603809,20250721,B,0,1,0,20.0,4.745952677459531,15.297799999999999,2,0,0,16.06,0.025,首回踩失效
600418.SH,600418,20250724,B,0,1,0,20.0,7.564140875133418,43.3062,2,0,0,46.85,0.025,证明后结构回吐
002046.SZ,002046,20250725,A,1,0,0,16.003171777047044,15.621903175379826,15.550883244777499,1,0,0,18.43,0.025,高成熟成本停滞
002527.SZ,002527,20250725,B,0,1,0,19.154470111091527,13.051783659378591,15.1116,2,0,0,17.38,0.025,滞败
002995.SZ,002995,20250725,B,0,1,0,20.0,3.9708396178984584,19.100199999999997,2,0,0,19.89,0.025,滞败
300655.SZ,300655,20250725,C,0,0,1,14.541715628672142,10.315151515151522,8.8788,3,1,1,9.9,0.015,MA20破坏
301285.SZ,301285,20250725,C,0,0,1,8.887237205351456,16.878136200716842,32.467400000000005,3,1,1,39.06,0.015,MA20破坏
600105.SH,600105,20250725,C,0,0,1,15.482617145324987,9.68828451882845,8.6338,3,1,1,9.56,0.015,高成熟成本停滞
300990.SZ,300990,20250728,A,1,0,0,13.543632997022206,18.4588581258047,44.59485049099741,1,0,0,54.69,0.025,高成熟成本停滞
301132.SZ,301132,20250728,B,0,1,0,20.0,9.811409221151358,34.6234,2,0,0,38.39,0.025,滞败
300655.SZ,300655,20250730,A,1,0,0,17.42081723619483,14.350647079895928,8.86470802723077,1,0,0,10.35,0.025,高成熟成本停滞
600711.SH,600711,20250801,A,1,0,0,15.348681392035552,16.28804413972169,6.571388535031847,1,0,0,7.85,0.025,高成熟成本停滞
300373.SZ,300373,20250805,A,1,0,0,20.0,11.301367421475527,49.227741081081085,1,0,0,55.5,0.025,高成熟成本停滞
